fid,nameJa,nameEn,catJa,catEn,descJa,descEn,dir,mnsid,status,peakNumPos,peakNumNeg,peakNumPosN,peakNumNegN,peakNumPosS,peakNumNegS
01026,こむぎ ［パン類］ 食パン,"Common wheat, bread, white",穀類,Cereals,,,data/170406/01026,SE112_S010261,s1-published,,,,,,
01038,こむぎ ［うどん・そうめん類］ うどん 生,"Common wheat, ""Udon"" (thick wheat noodles), uncooked",穀類,Cereals,,,data/170808/01038,SE118_S010381,s1-published,,,,,,
01069,こむぎ ［その他］ ちくわぶ,"Common wheat, ""Chikuwabu"" (tube-shaped steamed wheat dough)",穀類,Cereals,,,data/170808/01069,SE118_S010691,s1-published,,,,,,
01080,こめ ［水稲穀粒］ 玄米,"Rice, paddy rice, brown rice, raw",穀類,Cereals,,,data/171109/01080,SE122_S010801,s1-published,,,,,,
01083,こめ ［水稲穀粒］ 精白米 うるち米,"Rice, paddy rice, non-glutinous, well-milled, raw",穀類,Cereals,,,data/171109/01083,SE122_S010831,s1-published,,,,,,
01085,こめ ［水稲めし］ 玄米,"Rice, short grain, paddy rice, brown, ""meshi"" (cooked rice)",穀類,Cereals,,,data/171127/01085,SE123_S010851,s1-published,,,,,,
01088,こめ ［水稲めし］ 精白米 うるち米,"Rice, short grain, paddy rice, nonglutinous rice, well-milled, ""meshi"" (cooked rice)",穀類,Cereals,,,data/171127/01088,SE123_S010881,s1-published,,,,,,
01122,そば そば粉 全層粉,"Buckwheat flour, straight",穀類,Cereals,,,data/170911/01122,SE120_S011221,s1-published,,,,,,
01131,とうもろこし 玄穀 黄色種,"Corn, whole grain, yellow kernel, raw",穀類,Cereals,,,data/171109/01131,SE122_S011311,s1-published,,,,,,
01151,こめ ［水稲穀粒］ 精白米 もち米,"Rice, paddy rice, glutinous rice, well-milled, raw",穀類,Cereals,,,data/171109/01151,SE122_S011511,s1-published,,,,,,
01154,こめ ［水稲めし］ 精白米 もち米,"Rice, short grain, paddy rice, glutinous rice, well-milled, ""meshi"" (cooked rice)",穀類,Cereals,,,data/171127/01154,SE123_S011541,s1-published,,,,,,
02003,＜いも類＞こんにゃく 板こんにゃく 精粉こんにゃく,"Konjac, block, made from fine powder",いも及びでん粉類,Potatoes and starches,,,data/170508/02003,SE114_S020031,s1-published,,,,,,
02006,＜いも類＞（さつまいも類） さつまいも 塊根 皮むき 生,"Sweet potato, tuberous root, without skin, raw",いも及びでん粉類,Potatoes and starches,,,data/171109/02006,SE122_S020061,s1-published,,,,,,
02010,＜いも類＞（さといも類） さといも 球茎 生,"Taro, ""Satoimo"", corm, raw",いも及びでん粉類,Potatoes and starches,,,data/171109/02010,SE122_S020101,s1-published,,,,,,
02017,＜いも類＞じゃがいも 塊茎 生,"Potatoes, tuber, raw",いも及びでん粉類,Potatoes and starches,,,data/170808/02017,SE118_S020171,s1-published,,,,,,
02022,＜いも類＞（やまのいも類） ながいも いちょういも 塊根 生,"Yam, Chinese yam, ""Ichoimo"", tuberous root, raw",いも及びでん粉類,Potatoes and starches,,,data/170508/02022,SE114_S020221,s1-published,,,,,,
03001,（砂糖類） 黒砂糖,"Sugars, brown sugar lump",砂糖及び甘味類,Sugars and sweeteners,,,data/170614/03001,SE117_S030011,s1-published,,,,,,
03002,（砂糖類） 和三盆糖,"Sugars, ""Wasanbonto"" (traditional non-centrifugal soft white cane sugar)",砂糖及び甘味類,Sugars and sweeteners,,,data/170808/03002,SE118_S030021,s1-published,,,,,,
03005,（砂糖類） ざらめ糖 グラニュー糖,"Sugars, hard sugars, granulated",砂糖及び甘味類,Sugars and sweeteners,,,data/170808/03005,SE118_S030051,s1-published,,,,,,
03022,（その他） はちみつ,Honey,砂糖及び甘味類,Sugars and sweeteners,,,data/170406/03022,SE112_S030221,s1-published,,,,,,
03023,（その他） メープルシロップ,Maple syrup,砂糖及び甘味類,Sugars and sweeteners,,,data/170808/03023,SE118_S030231,s1-published,,,,,,
04001,あずき 全粒 乾,"Adzuki beans, mature seeds, whole, raw",豆類,Pulses,,,data/171109/04001,SE122_S040011,s1-published,,,,,,
04007,いんげんまめ 全粒 乾,"Kidney beans, mature seeds, whole, raw",豆類,Pulses,,,data/180112/04007,SE169_S040071,s1-published,,,,,,
